T,Euribor1Y,HICP,CORE,IPI,EXRATE,NFCRATE,VOL,M3,GDP,LP,UNRATE
2003.8333333333333,2.4103,4.40391042817389,4.44617445449763,4.62192609971653,4.62336209489274,3.44,24.1170888888889,15.6294068562233,,,9.21605
2003.9166666666667,2.3808,4.40439948552561,4.44746318995806,4.62694871198282,4.65302603247843,3.51,20.5497705882353,15.6317621318775,14.7526570055795,4.50106945633329,9.29604
2004.0,2.2163,4.40781620636018,4.45038597218723,4.62694871198282,4.66433015034139,3.45,20.2518894736842,15.6344530321148,,,9.3882
2004.0833333333333,2.163,4.40927694916404,4.45271806279641,4.62995021498658,4.66342101291504,3.44,18.8853166666667,15.6403478730488,,,9.38528
2004.1666666666667,2.055,4.41231332727875,4.45364937834685,4.6259462056332,4.64323247668605,3.38,23.8125952380952,15.645297721289,14.7582922804748,4.50766174297256,9.44504
2004.25,2.1626,4.41521960202965,4.45608996297394,4.63493278633104,4.62660051598891,3.42,20.4007333333333,15.6498276346647,,,9.42489
2004.3333333333333,2.2974,4.41787628756758,4.45655416165931,4.63691888430267,4.63729062367767,3.42,24.3728947368421,15.6504945732728,,,9.40231
2004.4166666666667,2.4044,4.41896108246695,4.45840880459269,4.63691888430267,4.6380387087972,3.39,18.991565,15.6584422725871,14.7643940480842,4.51065437872353,9.35038
2004.5,2.361,4.420405647543,4.4595662121293,4.63989065469183,4.64194973330982,3.42,19.116205,15.6646467135054,,,9.35301
2004.5833333333333,2.302,4.42256858998682,4.46129981556839,4.6259462056332,4.64040426300205,3.4,19.94945,15.6679357462035,,,9.36679
2004.6666666666667,2.377,4.42316857800506,4.46233853688055,4.63890104550666,4.64345472420812,3.41,16.405145,15.6745184669315,14.7666641250663,4.51226209611162,9.437
2004.75,2.3161,4.42592389571106,4.46314568595867,4.64482406380979,4.65473959358977,3.42,17.9638947368421,15.6813403200648,,,9.43207
2004.8333333333333,2.3283,4.42592389571106,4.46452785618563,4.63393825616453,4.6688988510882,3.4,15.899445,15.6849531840833,,,9.4368
2004.9166666666667,2.301,4.42711949604478,4.46613797729253,4.63094871731617,4.68027163698427,3.41,15.4855631578947,15.6935042967566,14.77092884096,4.51409632796831,9.36192
2005.0,2.3121,4.427716760591,4.4671716878308,4.64383932714725,4.66699591610059,3.36,13.8858947368421,15.6985551476056,,,9.29082
2005.0833333333333,2.31,4.42986396408804,4.46763077196603,4.63493278633104,4.65751419373367,3.38,13.066055,15.7038088458501,,,9.29258
2005.1666666666667,2.3348,4.43343242273378,4.46889216769546,4.63493278633104,4.6656084756255,3.38,13.3999954545455,15.7069500392964,14.7736601507869,4.51649866281927,9.28496
2005.25,2.2651,4.43592278868141,4.46980854805742,4.65169020162298,4.65676085152502,3.34,14.8880476190476,15.7149534927118,,,9.36142
2005.3333333333333,2.1933,4.43675153436313,4.47118154598477,4.64087928551877,4.64536220605488,3.34,14.4764772727273,15.7222360617873,,,9.30531
2005.4166666666667,2.1028,4.43876134765419,4.47186733867367,4.64777246889408,4.61760597555319,3.29,12.9133909090909,15.7334852635607,14.7798194761096,4.51501218378505,9.31065
2005.5,2.168,4.44194512488513,4.47289514667827,4.65559264559992,4.61920935974344,3.31,13.6196095238095,15.7435618978557,,,9.22442
2005.5833333333333,2.2229,4.4444144071087,4.47426391614029,4.64285361982249,4.62534242720388,3.34,15.4248913043478,15.748603343009,,,9.1564
2005.6666666666667,2.2195,4.44863332816786,4.47540312792903,4.65753817150541,4.6202366289049,3.3,15.0847409090909,15.7574625983179,14.7873967217471,4.5226497244732,9.20123
2005.75,2.4136,4.44980209875439,4.47665476375266,4.65850951689504,4.6150430401407,3.3,17.6948095238095,15.7601406023208,,,9.17248
2005.8333333333333,2.6844,4.44816543717793,4.47790483494222,4.66817142780678,4.60591992249673,3.44,15.4226473684211,15.7651296774201,,,9.09939
2005.9166666666667,2.7833,4.44898410279876,4.47892645941384,4.66624649939719,4.6061430862344,3.53,13.8118611111111,15.7738697522395,14.7942223056432,4.52208176853131,9.05333
2006.0,2.8335,4.45166929500233,4.47949357790009,4.66720942677059,4.61279436917358,3.5,15.6707473684211,15.7784967915423,,,8.96274
2006.0833333333333,2.9142,4.45330023664997,4.48040029903214,4.67009265798467,4.6032815005483,3.62,16.2233058823529,15.7855392175627,,,8.91425
2006.1666666666667,3.1053,4.45504472741045,4.48198508541771,4.67201020411394,4.61144479583442,3.78,15.03204,15.7926289110792,14.8035125229636,4.52639016521845,8.81699
2006.25,3.2214,4.45875616753256,4.48311553998079,4.67774087882293,4.62271037215546,3.82,15.0361333333333,15.8038205646303,,,8.70932
2006.3333333333333,3.3078,4.46141528234295,4.48447040075031,4.69004581401331,4.63993287394265,3.9,21.1083157894737,15.8098163716156,,,8.62199
